"District","Thana","EIIN","College Name","Shift","Version","Group Name","Gender","Min GPA","Own GPA","Available Seat"
"Brahmanbaria","Brahmanbaria Sadar","103208","Shalgaon Kalishima School And College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","103208","Shalgaon Kalishima School And College","Day","Bangla","Science","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","103208","Shalgaon Kalishima School And College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","103293","Shuhilpur Al- Haz Harun- Al- Rashid College","Day","Bangla","Humanities","Co-Edu","2.00","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","103293","Shuhilpur Al- Haz Harun- Al- Rashid College","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","130898","WISDOM SCHOOL AND COLLEGE","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","130898","WISDOM SCHOOL AND COLLEGE","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","130898","WISDOM SCHOOL AND COLLEGE","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Kasba","103385","Bayek Alhaj Shahalam College","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","150"
"Brahmanbaria","Kasba","103385","Bayek Alhaj Shahalam College","Day","Bangla","Humanities","Co-Edu","2.00","0.00","250"
"Brahmanbaria","Kasba","103385","Bayek Alhaj Shahalam College","Day","Bangla","Science","Co-Edu","3.00","0.00","150"
"Brahmanbaria","Kasba","103378","Chargachh N. I. Bhuiyan College","Day","Bangla","Humanities","Co-Edu","2.00","0.00","150"
"Brahmanbaria","Kasba","103378","Chargachh N. I. Bhuiyan College","Day","Bangla","Science","Co-Edu","3.00","0.00","150"
"Brahmanbaria","Kasba","103378","Chargachh N. I. Bhuiyan College","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","150"
"Brahmanbaria","Kasba","103384","Gopinathpur Al- Haj Shah Alam College  Kasba Brahmanbaria","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","200"
"Brahmanbaria","Kasba","103384","Gopinathpur Al- Haj Shah Alam College  Kasba Brahmanbaria","Day","Bangla","Science","Co-Edu","2.50","0.00","200"
"Brahmanbaria","Kasba","103384","Gopinathpur Al- Haj Shah Alam College  Kasba Brahmanbaria","Day","Bangla","Humanities","Co-Edu","1.50","0.00","650"
"Brahmanbaria","Kasba","103377","Kalser Nayeema Alam Mohila College","Day","Bangla","Humanities","Female","2.00","0.00","250"
"Brahmanbaria","Kasba","103377","Kalser Nayeema Alam Mohila College","Day","Bangla","Business Studies","Female","2.00","0.00","150"
"Brahmanbaria","Kasba","103377","Kalser Nayeema Alam Mohila College","Day","Bangla","Science","Female","2.00","0.00","150"
"Brahmanbaria","Kasba","103379","Kasba Mohila College","Day","Bangla","Science","Female","2.00","1.00","150"
"Brahmanbaria","Kasba","103379","Kasba Mohila College","Day","Bangla","Business Studies","Female","1.50","0.00","150"
"Brahmanbaria","Kasba","103379","Kasba Mohila College","Day","Bangla","Humanities","Female","1.50","0.00","350"
"Brahmanbaria","Kasba","103381","Kasba T. Ali College","Day","Bangla","Science","Co-Edu","1.50","0.00","150"
"Brahmanbaria","Kasba","103381","Kasba T. Ali College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Kasba","103381","Kasba T. Ali College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","350"
"Brahmanbaria","Kasba","139304","MULAGRAM JAHANGIR ALAM BHUIYAN RUHUL AMIN BHUIYAN FAOUNDATION COLLEGE","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Kasba","139304","MULAGRAM JAHANGIR ALAM BHUIYAN RUHUL AMIN BHUIYAN FAOUNDATION COLLEGE","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Kasba","139304","MULAGRAM JAHANGIR ALAM BHUIYAN RUHUL AMIN BHUIYAN FAOUNDATION COLLEGE","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Kasba","103380","Mia Abdullah Wazed Girls College","Day","Bangla","Humanities","Female","1.00","0.00","350"
"Brahmanbaria","Kasba","103380","Mia Abdullah Wazed Girls College","Day","Bangla","Science","Female","1.00","0.00","150"
"Brahmanbaria","Kasba","103380","Mia Abdullah Wazed Girls College","Day","Bangla","Business Studies","Female","1.00","0.00","150"
"Brahmanbaria","Kasba","103330","SERAJUL HUQ SCHOOL AND COLLEGE","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Kasba","103330","SERAJUL HUQ SCHOOL AND COLLEGE","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Kasba","103330","SERAJUL HUQ SCHOOL AND COLLEGE","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Kasba","103382","Syedabad Adarsha Govt. College","Day","Bangla","Humanities","Co-Edu","2.25","1.00","300"
"Brahmanbaria","Kasba","103382","Syedabad Adarsha Govt. College","Day","Bangla","Science","Co-Edu","3.25","1.00","300"
"Brahmanbaria","Kasba","103382","Syedabad Adarsha Govt. College","Day","Bangla","Business Studies","Co-Edu","2.75","1.00","300"
"Brahmanbaria","Nabinagar","103439","Alimuddin Zobeda College","Day","Bangla","Science","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Nabinagar","103439","Alimuddin Zobeda College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Nabinagar","103439","Alimuddin Zobeda College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Nabinagar","139114","BITGHAR DANABIR MOHESHCHANDRA BHATTACHARJEE BIDDAPITH","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Nabinagar","139114","BITGHAR DANABIR MOHESHCHANDRA BHATTACHARJEE BIDDAPITH","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Nabinagar","139114","BITGHAR DANABIR MOHESHCHANDRA BHATTACHARJEE BIDDAPITH","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Nabinagar","103406","Birgaon School And College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Nabinagar","103406","Birgaon School And College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Nabinagar","103421","Jenodpur Union School & College","Day","Bangla","Science","Co-Edu","2.00","0.00","150"
"Brahmanbaria","Nabinagar","103421","Jenodpur Union School & College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Nabinagar","103421","Jenodpur Union School & College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Nabinagar","103408","Krishnanagar Abdul Jabbar School And College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Nabinagar","103408","Krishnanagar Abdul Jabbar School And College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Nabinagar","136948","Laur Fatehpur Barrister Zakir Ahammad College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","250"
"Brahmanbaria","Nabinagar","136948","Laur Fatehpur Barrister Zakir Ahammad College","Day","Bangla","Science","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Nabinagar","136948","Laur Fatehpur Barrister Zakir Ahammad College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","450"
"Brahmanbaria","Nabinagar","103438","Nabinagar Govt. College","Day","Bangla","Science","Co-Edu","3.00","0.00","150"
"Brahmanbaria","Nabinagar","103438","Nabinagar Govt. College","Day","Bangla","Humanities","Co-Edu","3.00","0.00","300"
"Brahmanbaria","Nabinagar","103438","Nabinagar Govt. College","Day","Bangla","Business Studies","Co-Edu","3.00","0.00","300"
"Brahmanbaria","Nabinagar","103437","Nabinagar Mohila College","Day","Bangla","Humanities","Female","2.00","0.00","300"
"Brahmanbaria","Nabinagar","103437","Nabinagar Mohila College","Day","Bangla","Business Studies","Female","2.00","0.00","150"
"Brahmanbaria","Nabinagar","103437","Nabinagar Mohila College","Day","Bangla","Science","Female","3.00","0.00","150"
